Identifiant unique,date,like facebook,carte fidelite,age,enfants,achat,Sexe,Deja achete,Satisfaction,Revenus mensuels,Point de vente,_Point de vente
cac42294-1a54-48b9-ada8-4f5c46cd2c19,13/01/2015,Non,Non,20,0,Aucun,Homme,Aucun,,1192,Toulouse,43.6031363 1.4428025
2beedb8f-81ef-433f-9942-68b18f43e530,16/02/2015,Oui,Non,42,0,Aucun,Homme,A,,679,Bordeaux,44.8538741 -0.5677843
11e655ea-5cb8-4601-8e50-365ba9d77ed0,27/01/2015,Oui,Oui,49,0,Aucun,Homme,B,,3005,Lille,50.6338388 3.0616978
e8432cff-9c10-4e0f-a380-c211a0d73eae,04/01/2015,Non,Non,32,2,Aucun,Homme,A,,653,Lyon,45.7642761 4.8275658
d430ac59-2261-4e38-9f6a-1f69b7493920,12/02/2015,Non,Non,43,2,B,Femme,B,Peu satisfait,2448,Toulouse,43.6031363 1.4428025
b775dbd7-04c2-4297-a820-d622c40e96a7,07/02/2015,Non,Oui,50,4,B,Femme,B,Insatisfait,2116,Marseilles,43.2928084 5.373598
0456ef11-b7ad-4005-aa68-d3f9164b6419,23/02/2015,Non,Non,20,0,Aucun,Femme,Aucun,,1750,Paris,48.8711538 2.3030992
40788288-1b25-4bad-9d5b-9c946a907200,14/02/2015,Non,Oui,31,2,B,Femme,Aucun,Peu satisfait,2087,Marseilles,43.2928084 5.373598
1bd575dd-edb4-4125-a101-27dc0af50f7f,19/01/2015,Non,Oui,58,2,B,Femme,Aucun,Satisfait,3856,Nice,43.6999233 7.2820611
7de16498-4ebf-4834-91de-6f33efe17117,31/01/2015,Non,Non,59,2,B,Femme,B,Satisfait,1990,Paris,48.8711538 2.3030992
55c0bd9f-f7f0-4491-969b-0f09dca77fdb,20/01/2015,Non,Non,41,1,Aucun,Homme,Aucun,,743,Bordeaux,44.8538741 -0.5677843
6aecab82-922f-426f-80eb-aa6f976dd4d6,11/02/2015,Oui,Non,24,0,Aucun,Femme,A,,709,Paris,48.8711538 2.3030992
99231fbc-6d7a-419d-8755-781e8a3051e8,19/01/2015,Non,Oui,56,1,B,Femme,Aucun,Tres satisfait,5323,Montpellier,43.6103604 3.8764686
208f5d75-097e-4b3e-953f-1e0132e81120,14/01/2015,Non,Non,41,1,A,Femme,A,Tres satisfait,4419,Nice,43.6999233 7.2820611
2feb2d9d-d465-461c-9138-07267a819b44,07/01/2015,Non,Non,39,1,Aucun,Femme,A,,2823,Paris,48.8711538 2.3030992
a107689e-e0b5-44e0-b77a-358342a2cf4f,28/01/2015,Non,Non,38,2,B,Homme,Aucun,Tres satisfait,2575,Caen,49.1872438 -0.3670671
d5c26206-886c-4445-a57d-b9ccd0ff968c,26/02/2015,Oui,Non,50,4,Aucun,Homme,Aucun,,1619,Lille,50.6338388 3.0616978
d108a5f0-d5ab-46e7-b74a-b82ea7081c89,27/01/2015,Non,Non,29,0,B,Homme,Aucun,Satisfait,2966,Lille,50.6338388 3.0616978
55c058fa-2127-44a4-8e1b-acbd92ef566f,08/02/2015,Non,Oui,41,2,Aucun,Homme,Aucun,,2268,Paris,48.8711538 2.3030992
218352b2-2583-4a79-bbd1-be18306645ed,11/02/2015,Non,Non,68,1,A,Femme,Aucun,Satisfait,4743,Nice,43.6999233 7.2820611
d7992013-e1d6-4061-9352-c58a535282bb,04/01/2015,Non,Non,23,0,Aucun,Homme,Aucun,,1083,Marseilles,43.2928084 5.373598
3fd22a13-f6eb-4e3d-9253-0f55b787ccd4,05/01/2015,Non,Non,26,1,Aucun,Femme,B,,5369,Montpellier,43.6103604 3.8764686
37aac5ff-861a-47d8-8892-e1e6d641b4e2,14/02/2015,Non,Non,62,1,Aucun,Homme,Aucun,,639,Nantes,47.2237972 -1.6324407
23e41778-f00d-461f-acf9-b7a0f74b5339,20/01/2015,Non,Non,39,1,Aucun,Homme,Aucun,,2498,Strasbourg,48.5817339 7.7491749
1f80ef17-72bf-4552-85d5-836e4ad90388,13/01/2015,Non,Non,64,2,Aucun,Femme,Aucun,,2196,Lille,50.6338388 3.0616978
cd21dacf-ced8-4236-8d2e-53ee01b80d70,02/01/2015,Non,Oui,44,1,B,Homme,Aucun,Satisfait,3242,Brest,48.3921232 -4.482863
e910a1de-437d-46cd-bc58-f48d95138f05,19/01/2015,Non,Non,65,3,A,Femme,B,Satisfait,4507,Toulouse,43.6031363 1.4428025
fd1d0889-ae53-4ebf-bfd7-7514d8507402,10/01/2015,Oui,Non,50,2,Aucun,Homme,Aucun,,1727,Toulouse,43.6031363 1.4428025
4cfc1ced-7132-4f1b-83e0-f9621236c67f,15/02/2015,Oui,Non,41,1,B,Femme,Aucun,Satisfait,4944,Lyon,45.7642761 4.8275658
1e1e6808-f40b-4d22-b4ff-576e6ef79418,01/01/2015,Non,Non,51,3,Aucun,Homme,Aucun,,1540,Paris,48.8711538 2.3030992
d0af975e-548f-47aa-a496-8e86d76b4779,15/01/2015,Non,Non,63,3,Aucun,Homme,Aucun,,,Caen,49.1872438 -0.3670671
58ce9fee-568f-4472-92ca-240bd5584251,03/02/2015,Non,Non,53,1,B,Homme,B,Peu satisfait,4233,Nantes,47.2237972 -1.6324407
7dd23f6b-25ef-4a5f-b35c-9501d8cbc6b1,06/01/2015,Non,Non,59,0,B,Femme,B,Satisfait,3669,Nantes,47.2237972 -1.6324407
5862b4a8-7fc8-4e4b-bc8e-22d1b03af0a2,03/01/2015,Non,Oui,52,1,Aucun,Homme,Aucun,,,Paris,48.8711538 2.3030992
45709433-eb52-460e-9e77-ded2c8eac1d7,09/02/2015,Non,Non,23,0,B,Femme,Aucun,Satisfait,3766,Nantes,47.2237972 -1.6324407
59f01800-a352-48d9-9129-95688cdce7fc,13/02/2015,Non,Non,41,2,B,Homme,Aucun,Peu satisfait,2342,Brest,48.3921232 -4.482863
16b3aa89-3b6d-4419-a13b-73d98adb9eb7,15/02/2015,Non,Oui,27,2,B,Homme,Aucun,Satisfait,1759,Montpellier,43.6103604 3.8764686
5a52af65-f47e-4e1b-a99a-c543e59bb348,12/02/2015,Non,Non,50,1,B,Homme,Aucun,Peu satisfait,2068,Bordeaux,44.8538741 -0.5677843
ff82f5bd-8e20-49b9-a3ab-8273768534c1,26/01/2015,Non,Oui,57,2,Aucun,Femme,B,,5692,Caen,49.1872438 -0.3670671
25b9dae5-29d1-4413-a4ea-beef324cd73b,03/02/2015,Non,Oui,47,0,B,Homme,Aucun,Peu satisfait,2374,Strasbourg,48.5817339 7.7491749
5607fb64-4422-4e79-a972-e64539fae1a9,12/02/2015,Non,Non,50,2,Aucun,Homme,Aucun,,3416,Toulouse,43.6031363 1.4428025
8b849581-2479-46d7-9c88-560207e8905d,11/01/2015,Non,Non,19,1,B,Homme,B,Satisfait,3493,Marseilles,43.2928084 5.373598
f4329006-4a9d-4f8d-8032-789becf8c3a0,09/01/2015,Non,Non,52,2,B,Homme,B,Satisfait,4493,Caen,49.1872438 -0.3670671
07bc6fc5-9948-468e-b25b-da8a10e3cf4c,18/02/2015,Non,Non,35,3,A,Femme,Aucun,Tres satisfait,5146,Nice,43.6999233 7.2820611
09637d92-069a-4b53-a8be-13b6c5c7280a,23/02/2015,Non,Non,32,0,B,Homme,B,Satisfait,1771,Bordeaux,44.8538741 -0.5677843
2a09b44c-8f58-4a74-bd4f-ba8371d85e85,20/02/2015,Non,Non,47,3,Aucun,Femme,Aucun,,832,Bordeaux,44.8538741 -0.5677843
a3cc4570-bd83-43f8-a8f0-d003e4fffa4a,25/02/2015,Non,Non,41,1,Aucun,Homme,Aucun,,3023,Nice,43.6999233 7.2820611
dd659dd2-99af-4cd2-99e9-09af8230d3d1,20/02/2015,Non,Non,41,2,B,Femme,Aucun,Tres satisfait,3860,Marseilles,43.2928084 5.373598
07fc657c-4753-4198-900c-7950edf0ea51,03/01/2015,Non,Non,49,0,Aucun,Homme,Aucun,,1859,Marseilles,43.2928084 5.373598
671c420d-1d0c-418d-8473-d19fdaebe576,21/02/2015,Non,Non,48,0,Aucun,Femme,Aucun,,1142,Lille,50.6338388 3.0616978
d7c5e2f8-6689-4c62-9841-76ed97a42607,09/02/2015,Non,Non,65,1,Aucun,Homme,Aucun,,3770,Lille,50.6338388 3.0616978
dd4eb56f-7872-4872-b2b5-533c6a6846c4,27/01/2015,Non,Non,58,1,A,Femme,A,Tres satisfait,5417,Paris,48.8711538 2.3030992
59834907-8c79-46ab-9d89-3b5f486aaa9b,16/02/2015,Non,Non,54,3,A,Femme,B,Insatisfait,4972,Lille,50.6338388 3.0616978
6088d335-333b-49c0-b137-8a937b161853,25/01/2015,Non,Non,54,2,Aucun,Homme,Aucun,,1160,Nantes,47.2237972 -1.6324407
e56e763f-1827-420a-b74a-1644223cb939,06/02/2015,Oui,Oui,62,2,Aucun,Homme,Aucun,,684,Lille,50.6338388 3.0616978
cf38e548-6fcf-4482-aaca-a651c981b5b8,04/02/2015,Non,Non,55,1,B,Homme,B,Satisfait,1713,Lyon,45.7642761 4.8275658
3d861624-7f0e-4dee-ae43-1321fbbfdaee,30/01/2015,Non,Non,65,3,Aucun,Femme,A,,2390,Strasbourg,48.5817339 7.7491749
59df34bf-51c1-4635-9b98-d25b7eeb882b,06/02/2015,Non,Non,38,1,Aucun,Homme,A,,4221,Paris,48.8711538 2.3030992
d93a39b5-a607-4bc2-b9c7-28b484bd2c1d,18/02/2015,Non,Oui,47,2,Aucun,Homme,Aucun,,5223,Lille,50.6338388 3.0616978
3399606c-f006-48b6-b4ba-2407be4fd605,13/01/2015,Non,Non,30,0,Aucun,Femme,Aucun,,,Marseilles,43.2928084 5.373598
c4b734cd-5dda-4117-a91f-a4a6ecb13064,06/02/2015,Non,Non,30,1,Aucun,Homme,Aucun,,2294,Brest,48.3921232 -4.482863
4f14324b-4fdd-4baa-87e2-43268ddec234,18/02/2015,Non,Non,29,1,B,Femme,B,Tres satisfait,3534,Nice,43.6999233 7.2820611
52604149-3bf3-464c-ba74-4cfab1e86cbd,05/02/2015,Non,Non,28,1,A,Femme,Aucun,Tres satisfait,5294,Lille,50.6338388 3.0616978
25a1cb25-8a9e-46bd-8b41-9fd8336edf11,15/02/2015,Non,Non,64,1,Aucun,Femme,Aucun,,2109,Strasbourg,48.5817339 7.7491749
a000e399-27f1-4365-95fe-b7768f9e9c7c,14/01/2015,Oui,Non,20,0,Aucun,Homme,A,,2889,Marseilles,43.2928084 5.373598
c9ba8f1b-a513-4ace-a4a9-69b08ae5b612,08/02/2015,Non,Non,28,1,A,Femme,Aucun,Tres satisfait,5511,Nice,43.6999233 7.2820611
8075830f-0947-4b5f-b768-80da2df65035,18/02/2015,Non,Non,36,2,B,Homme,B,Satisfait,1665,Paris,48.8711538 2.3030992
380a3e31-46e7-4c92-8551-fde6d72112ad,16/01/2015,Non,Non,46,0,Aucun,Femme,Aucun,,2351,Lyon,45.7642761 4.8275658
a061eaec-e523-4502-8d72-e59f264c65c5,29/01/2015,Non,Non,45,2,A,Femme,Aucun,Peu satisfait,5179,Paris,48.8711538 2.3030992
96e5f168-9fc2-41a8-8509-79d399c2411e,02/01/2015,Non,Non,50,2,Aucun,Homme,Aucun,,1917,Nice,43.6999233 7.2820611
64e55159-29e3-4080-98af-ca5ad2676858,27/01/2015,Non,Non,20,0,B,Femme,Aucun,Satisfait,3552,Paris,48.8711538 2.3030992
8544eb28-8109-4b60-b568-c3e58fcccc78,27/01/2015,Oui,Non,75,1,Aucun,Homme,Aucun,,690,Lille,50.6338388 3.0616978
0de821ef-be09-4e67-98dd-cd8ea1288b06,14/01/2015,Non,Non,26,2,Aucun,Homme,Aucun,,2113,Lille,50.6338388 3.0616978
88c18d82-7a9a-41a9-b560-726249857c87,22/01/2015,Non,Non,63,2,A,Femme,B,Insatisfait,4193,Paris,48.8711538 2.3030992
2a180126-45aa-4f06-9cfe-fb9527bb7105,27/01/2015,Oui,Non,19,0,Aucun,Femme,Aucun,,3700,Lyon,45.7642761 4.8275658
7407b2bb-ce2f-4b5d-9c3e-0b0feb12b589,05/02/2015,Non,Oui,54,2,B,Homme,Aucun,Satisfait,2592,Nice,43.6999233 7.2820611
0bffe19f-d0f2-4af1-8670-c4aac7efe693,26/02/2015,Non,Non,54,2,Aucun,Homme,Aucun,,2280,Nantes,47.2237972 -1.6324407
428b63a0-3739-4495-b6a5-889b2e068193,18/02/2015,Oui,Oui,37,0,B,Homme,Aucun,Tres satisfait,3171,Bordeaux,44.8538741 -0.5677843
1806a71b-f0de-47db-b7c9-15e3333cac3f,07/02/2015,Non,Non,43,3,Aucun,Femme,Aucun,,2561,Bordeaux,44.8538741 -0.5677843
d52fb4f1-5122-4da0-89db-f6536084deb3,17/02/2015,Oui,Non,42,0,Aucun,Homme,Aucun,,603,Bordeaux,44.8538741 -0.5677843
5aa08253-c1f8-415e-8417-e10102bed207,16/02/2015,Non,Non,27,1,Aucun,Homme,Aucun,,,Nantes,47.2237972 -1.6324407
3a70bc76-ad8f-4653-990e-7df4e5dda397,20/02/2015,Non,Non,54,0,Aucun,Femme,A,,,Caen,49.1872438 -0.3670671
fe2a0122-1d9a-4f8c-bcbb-eb2662c04059,19/01/2015,Non,Non,35,1,B,Homme,Aucun,Satisfait,3064,Paris,48.8711538 2.3030992
f3f25ee4-afa9-466c-a5ed-e2d1b116aaf0,01/02/2015,Non,Non,23,0,Aucun,Homme,Aucun,,3709,Lille,50.6338388 3.0616978
392379a6-8fd8-491c-86e1-659d5138298e,24/02/2015,Non,Non,61,2,Aucun,Femme,Aucun,,1099,Marseilles,43.2928084 5.373598
7b8f18c9-772c-42ef-a1d1-e1bb00b48842,24/02/2015,Non,Non,45,1,B,Femme,A,Peu satisfait,4134,Caen,49.1872438 -0.3670671
021f5dcf-8e56-4cc1-9365-0f0d65812f30,15/01/2015,Non,Oui,29,3,B,Homme,Aucun,Satisfait,4102,Lille,50.6338388 3.0616978
97b32424-fe08-4270-8a26-7bd9fd16b215,18/01/2015,Non,Non,56,4,B,Homme,Aucun,Satisfait,5514,Lille,50.6338388 3.0616978
18461ab0-ec05-461a-8969-d1557d1c9696,21/01/2015,Non,Non,59,1,B,Homme,Aucun,Satisfait,3363,Brest,48.3921232 -4.482863
a3635acb-609a-499f-8c92-e9b5dac81d73,07/01/2015,Non,Non,51,1,Aucun,Homme,A,,1008,Bordeaux,44.8538741 -0.5677843
2383214a-6706-4bd9-aa31-5641178d383b,03/01/2015,Non,Non,70,0,B,Femme,A,Insatisfait,2139,Nice,43.6999233 7.2820611
a515d215-913f-427e-a7bf-1b6bc38c321c,03/02/2015,Non,Non,63,2,B,Homme,Aucun,Tres satisfait,2222,Montpellier,43.6103604 3.8764686
0539f408-0441-48e2-8f99-45ccbaabce98,29/01/2015,Oui,Non,34,1,Aucun,Femme,Aucun,,739,Bordeaux,44.8538741 -0.5677843
e1c687b8-60e4-4618-8b60-695764f28760,07/02/2015,Non,Non,64,2,Aucun,Homme,Aucun,,1417,Nantes,47.2237972 -1.6324407
223bf95c-b02a-44a9-8bc8-2adc4c541bf6,17/01/2015,Oui,Non,45,0,A,Femme,Aucun,Tres satisfait,5237,Nice,43.6999233 7.2820611
d005b184-5108-4be6-83dd-4c755cd5152e,25/01/2015,Non,Non,55,2,Aucun,Homme,Aucun,,,Nice,43.6999233 7.2820611
faf23a9c-864e-40b5-bb63-c0586a5f3cb5,22/01/2015,Non,Non,56,2,Aucun,Homme,B,,3815,Nice,43.6999233 7.2820611
ad0f2b00-851d-4b76-966e-555bc318fd62,25/01/2015,Non,Non,61,4,Aucun,Homme,Aucun,,,Lille,50.6338388 3.0616978
00d3e3a4-2085-4c6a-85bf-0311ec7fd915,11/01/2015,Non,Non,55,1,Aucun,Homme,A,,1295,Caen,49.1872438 -0.3670671
b4a95b89-40ab-4b80-ad3e-ff1f69816980,23/02/2015,Non,Non,39,1,B,Femme,B,Satisfait,1928,Brest,48.3921232 -4.482863
5cb885d6-201e-4880-83f9-cedb3f5341db,10/01/2015,Non,Oui,44,1,Aucun,Homme,Aucun,,,Paris,48.8711538 2.3030992
60d63aeb-e2a9-4903-bd0f-ca5e9a56aadd,28/01/2015,Non,Non,32,1,Aucun,Homme,A,,4718,Paris,48.8711538 2.3030992
98fbce15-7492-4146-8575-f2bf6e72009d,27/01/2015,Non,Non,38,0,A,Femme,B,Tres satisfait,5873,Lille,50.6338388 3.0616978
32b17ffd-7151-4235-bf40-5403e6cf8909,31/01/2015,Oui,Non,34,2,Aucun,Homme,Aucun,,4550,Strasbourg,48.5817339 7.7491749
bd08bcc0-8b04-4c04-b7b1-a86a1d5fa74b,17/01/2015,Non,Non,36,0,Aucun,Homme,Aucun,,2724,Lille,50.6338388 3.0616978
3ededd19-ccd3-41f3-a8eb-2769bb9d1852,03/01/2015,Non,Non,51,2,Aucun,Homme,Aucun,,,Brest,48.3921232 -4.482863
47e0fa68-821f-459d-aff4-67752b012bc8,14/02/2015,Non,Oui,52,2,B,Femme,B,Insatisfait,4865,Lille,50.6338388 3.0616978
7557869e-f728-4e5b-ac37-e9e194d7a08b,18/01/2015,Non,Non,20,0,A,Femme,B,Satisfait,5000,Lille,50.6338388 3.0616978
caf87c0a-0138-4ca0-9d3d-b972dc68c3dd,09/01/2015,Non,Non,51,3,Aucun,Homme,Aucun,,3605,Bordeaux,44.8538741 -0.5677843
9f25b862-0691-4171-ae47-1d373924f20f,21/01/2015,Non,Non,44,0,Aucun,Homme,Aucun,,,Paris,48.8711538 2.3030992
1c36878f-1f7e-40c8-9372-2337dd2684f6,14/02/2015,Non,Non,47,2,Aucun,Homme,Aucun,,2217,Bordeaux,44.8538741 -0.5677843
39077df6-a3cb-4cf1-b5dd-615962b0b8f1,07/01/2015,Non,Non,26,2,B,Homme,B,Satisfait,3080,Montpellier,43.6103604 3.8764686
5905e834-02d2-4bfe-ad96-3672abeda163,26/02/2015,Non,Non,27,1,B,Femme,B,Peu satisfait,3630,Marseilles,43.2928084 5.373598
4cbcc270-743b-40a3-b558-10b657623d4a,06/02/2015,Non,Non,38,1,Aucun,Femme,Aucun,,3999,Nice,43.6999233 7.2820611
e82709bd-22f0-4452-b57a-5adff5a1a50f,08/01/2015,Non,Non,74,0,Aucun,Femme,A,,1163,Nice,43.6999233 7.2820611
1c37cb86-2bf0-40e4-9a45-81c4b2f35d6a,20/02/2015,Non,Non,55,2,B,Femme,B,Satisfait,4822,Bordeaux,44.8538741 -0.5677843
cd5df351-1b76-4c6b-96f7-8731209a4276,25/01/2015,Non,Non,44,0,Aucun,Homme,Aucun,,,Bordeaux,44.8538741 -0.5677843
755a5d8c-4b6c-4f04-9269-f69f09a359f0,22/02/2015,Non,Non,36,1,B,Homme,B,Peu satisfait,1687,Paris,48.8711538 2.3030992
5f11e477-b0a9-49dc-b98a-a0f7d11e3346,13/02/2015,Non,Non,59,1,Aucun,Femme,Aucun,,,Toulouse,43.6031363 1.4428025
2434bbb0-081c-4039-a40c-02a552d94ef9,15/01/2015,Oui,Non,55,2,Aucun,Homme,Aucun,,925,Marseilles,43.2928084 5.373598
95e5cfd4-7b4d-4d68-8e78-313243428bc5,22/01/2015,Non,Non,48,2,Aucun,Femme,Aucun,,2535,Caen,49.1872438 -0.3670671
d50e1f30-3629-4d6d-9bc4-6bb39b8931ab,04/02/2015,Non,Non,34,0,Aucun,Homme,Aucun,,2482,Strasbourg,48.5817339 7.7491749
92c1bc85-b581-4734-9d64-6b5f7d28f71d,02/02/2015,Non,Non,28,1,A,Homme,A,Tres satisfait,5880,Toulouse,43.6031363 1.4428025
44217096-aefa-430c-a7e1-9a19f9df5554,09/01/2015,Non,Oui,72,0,Aucun,Homme,A,,1594,Bordeaux,44.8538741 -0.5677843
3aebecf7-c7e4-4ce9-a3d5-3c1aa6c6771d,03/01/2015,Non,Non,28,0,Aucun,Femme,A,,1501,Lille,50.6338388 3.0616978
5c689ae8-30e6-492d-adb7-41234d1b56fe,08/01/2015,Non,Non,25,0,B,Homme,Aucun,Satisfait,3441,Nantes,47.2237972 -1.6324407
5898574e-fd16-4ecf-84fc-2316484dfcf1,20/02/2015,Non,Non,19,0,B,Femme,Aucun,Satisfait,4638,Marseilles,43.2928084 5.373598
385975dd-d7f1-4b80-a7a4-65487d5f7423,28/01/2015,Non,Non,27,2,B,Homme,B,Satisfait,4475,Lille,50.6338388 3.0616978
c1167d14-234b-4324-814f-a75828caa36a,28/01/2015,Non,Non,43,1,Aucun,Homme,Aucun,,3781,Bordeaux,44.8538741 -0.5677843
ce9e834b-d2b9-4bb9-8736-18331db3ec18,20/01/2015,Oui,Non,51,0,Aucun,Femme,Aucun,,2139,Bordeaux,44.8538741 -0.5677843
ccd61f71-adca-4966-80a7-76a40a45a04b,25/02/2015,Non,Non,62,0,B,Femme,B,Insatisfait,5728,Montpellier,43.6103604 3.8764686
20465340-9767-4ec3-9cd7-3a5e06c2158d,15/01/2015,Non,Non,35,1,Aucun,Femme,A,,666,Bordeaux,44.8538741 -0.5677843
ba0598c9-eea7-4568-a560-4bc7e51254be,02/01/2015,Non,Non,64,0,Aucun,Femme,A,,,Nice,43.6999233 7.2820611
4694e785-95d0-4fb5-8ffe-6bbeb52294f1,10/01/2015,Non,Non,36,0,B,Femme,B,Satisfait,2269,Nice,43.6999233 7.2820611
bc56f582-86a2-4fab-840b-c99a1359b32b,17/02/2015,Non,Non,63,2,A,Femme,Aucun,Tres satisfait,4247,Caen,49.1872438 -0.3670671
df56f574-e4e5-424f-a11c-eabe34e1673f,04/01/2015,Non,Non,41,1,Aucun,Femme,Aucun,,,Toulouse,43.6031363 1.4428025
0f4504bc-df94-426b-bd84-04f19d946480,02/02/2015,Non,Oui,55,2,Aucun,Homme,A,,3462,Paris,48.8711538 2.3030992
ac6d0dc5-039d-4795-b957-4a7fae01543c,02/01/2015,Non,Non,51,1,Aucun,Homme,A,,,Nantes,47.2237972 -1.6324407
61344f42-1610-4fd4-9a67-81b96a0d716f,07/01/2015,Non,Non,18,0,A,Femme,Aucun,Tres satisfait,3372,Nice,43.6999233 7.2820611
2be0406c-266e-466e-bdc2-9fb097daddb3,22/02/2015,Non,Non,22,0,B,Homme,B,Satisfait,2398,Brest,48.3921232 -4.482863
a6ac70fc-012b-4f4e-9965-891e321ae0f1,03/02/2015,Non,Non,54,2,B,Femme,Aucun,Tres satisfait,2190,Brest,48.3921232 -4.482863
9f5c2faf-aee5-4f13-9bf8-e526c6fc4d32,22/01/2015,Non,Non,20,0,B,Homme,Aucun,Satisfait,1673,Nice,43.6999233 7.2820611
35e7263c-3e97-48cd-b3c0-fc984b288bf2,26/01/2015,Non,Non,52,1,B,Femme,B,Tres satisfait,4483,Bordeaux,44.8538741 -0.5677843
34a6252f-f7a5-47df-a34f-537b3e253b61,21/02/2015,Non,Non,67,0,Aucun,Homme,A,,,Caen,49.1872438 -0.3670671
b710ee31-a604-4a97-83c0-a6d4fd1af4fb,05/01/2015,Non,Non,53,2,B,Femme,Aucun,Tres satisfait,2169,Brest,48.3921232 -4.482863
d9939dc5-5d28-4f76-b028-bd1e6a605cf0,04/02/2015,Non,Non,55,2,Aucun,Homme,A,,2789,Lille,50.6338388 3.0616978
fcc73b47-cdd3-4bf8-817a-79ea3aac868e,05/02/2015,Non,Non,24,0,B,Femme,B,Tres satisfait,1635,Nice,43.6999233 7.2820611
a8e26b05-220c-406e-a77e-5b84f74c2825,02/02/2015,Non,Oui,26,2,B,Femme,B,Tres satisfait,1687,Nantes,47.2237972 -1.6324407
c6c6f9de-024a-4adf-8db9-086f8a303d3d,30/01/2015,Non,Non,46,0,Aucun,Homme,Aucun,,3793,Brest,48.3921232 -4.482863
d7c12608-6f9d-4120-b242-4dbb6dcb621f,22/01/2015,Oui,Non,55,3,Aucun,Homme,Aucun,,1973,Caen,49.1872438 -0.3670671
9dc726e9-0b43-484c-90c7-f6d0554fff25,27/02/2015,Non,Non,62,2,A,Homme,A,Satisfait,4987,Nice,43.6999233 7.2820611
8d6cf712-0ff3-484f-951c-51e78d6b9096,18/01/2015,Non,Non,61,2,Aucun,Femme,A,,,Toulouse,43.6031363 1.4428025
c5d3d132-12b5-4680-ac66-0a45a1b6b17c,24/01/2015,Non,Non,43,1,Aucun,Femme,A,,,Brest,48.3921232 -4.482863
2b16c3c7-4419-428c-858a-0179eef1a060,18/01/2015,Non,Non,46,4,Aucun,Homme,A,,,Lille,50.6338388 3.0616978
96be349a-1371-4a01-b2d4-5f1a211585de,16/01/2015,Non,Non,62,1,Aucun,Femme,A,,1371,Brest,48.3921232 -4.482863
5f186c38-c601-48ad-856a-1b3758c97bc1,15/01/2015,Oui,Non,37,0,B,Homme,Aucun,Tres satisfait,3080,Nice,43.6999233 7.2820611
679fe674-eb6e-4fd4-9d54-23b1b3053e30,25/01/2015,Non,Non,32,2,Aucun,Homme,Aucun,,1970,Caen,49.1872438 -0.3670671
b4db269d-eae4-4c04-856d-47bef0e84a3a,06/02/2015,Non,Non,50,0,Aucun,Homme,Aucun,,,Toulouse,43.6031363 1.4428025
00ea1995-6b68-4022-8425-8c1cb2a7f55b,16/02/2015,Oui,Non,45,2,Aucun,Homme,Aucun,,1061,Lille,50.6338388 3.0616978
2d835c1c-d8c1-49f6-95e0-261a8fbb4c27,09/01/2015,Non,Non,24,0,B,Femme,Aucun,Tres satisfait,1865,Paris,48.8711538 2.3030992
5b4da810-8c60-4089-810f-3ab7f3fb03a2,24/02/2015,Oui,Non,38,2,Aucun,Homme,Aucun,,1199,Brest,48.3921232 -4.482863
7c9cb24b-5f6c-4802-b757-2716beb346a9,23/02/2015,Non,Non,53,1,A,Femme,B,Tres satisfait,3194,Paris,48.8711538 2.3030992
f1eb8091-2034-4d4e-9e2e-6a27f37e9ea2,14/02/2015,Non,Non,62,0,Aucun,Homme,Aucun,,994,Brest,48.3921232 -4.482863
9fb941f7-5129-438f-95c6-8bd06c318e43,17/02/2015,Non,Non,41,2,Aucun,Homme,A,,,Montpellier,43.6103604 3.8764686
9c9f1101-9fe1-4008-9ce4-5164fa30e4a8,04/01/2015,Non,Non,32,2,Aucun,Homme,A,,,Marseilles,43.2928084 5.373598
596bf60e-26d9-4688-b97e-ffca5ebb6066,08/01/2015,Non,Non,54,1,Aucun,Femme,Aucun,,2130,Bordeaux,44.8538741 -0.5677843
557eb8b5-dace-4573-8819-fc4bbd8f7722,23/01/2015,Non,Non,71,0,Aucun,Homme,A,,2244,Brest,48.3921232 -4.482863
f77c10ac-8abc-4a54-a622-c1bde23b9379,05/02/2015,Non,Non,40,0,Aucun,Homme,Aucun,,,Lille,50.6338388 3.0616978
abdbbf8a-0385-4d05-8bd7-f1c23078627f,25/02/2015,Oui,Non,36,1,Aucun,Homme,Aucun,,1464,Paris,48.8711538 2.3030992
84e7a201-f8b9-4067-a79d-63637c5f389f,21/01/2015,Non,Non,44,2,B,Homme,Aucun,Tres satisfait,2828,Bordeaux,44.8538741 -0.5677843
cc21422b-cb2b-47cd-877f-67a236c1cfdf,18/01/2015,Non,Non,66,1,A,Femme,Aucun,Tres satisfait,3636,Brest,48.3921232 -4.482863
9702b71a-404b-4d82-b6e8-5dcfb6bb356b,16/01/2015,Non,Non,55,0,Aucun,Femme,Aucun,,2209,Lille,50.6338388 3.0616978
0091697d-2f78-4e70-a09c-6781adc0c90a,13/02/2015,Non,Non,44,1,Aucun,Homme,Aucun,,1162,Nice,43.6999233 7.2820611
a7b17394-48c8-47b3-9758-a40a9c9980fb,10/02/2015,Non,Non,32,2,Aucun,Homme,A,,1243,Caen,49.1872438 -0.3670671
f7b68b49-0c85-4f7f-9c36-624f47934ef9,01/02/2015,Non,Non,49,3,B,Femme,Aucun,Satisfait,3907,Caen,49.1872438 -0.3670671
6cdfc97b-88e1-480c-92a7-b3c78271c11a,25/02/2015,Non,Non,21,0,Aucun,Homme,Aucun,,1074,Brest,48.3921232 -4.482863
