motif_contact,mode_contact,domaine,date_creation_affaire,delai_traitement,tranche_age,genre,annee_adhesion,situation_familiale,region_anterieure,region_nouvelle,gamme,libelle_gamme,offre,libelle_offre,formule,libelle_formule,t_centre3,fonctionevo,cible,vague,Recommandation,Premier contact MGEN ?,Votre interlocuteur vous a-t-il semblé tout mettre en œuvre pour répondre à votre demande?,réponse claire,réponse appropriée,réponse complète,Satisfaction globale
Demande d'informations et d'explications,Email entrant,"08- Dentaire Optique Audioprothèses/Optique - Montures, verres",3/2/2016,0,65 ans et +,Féminin,1966,Marié(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,,,Mail,201610,9,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,08- Dentaire Optique Audioprothèses/Dentaire - Prothèses,3/1/2016,1,55-64 ans,Féminin,1995,Marié(e),AQUITAINE,BRETAGNE,,,,,,,,,Mail,201610,8,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Réforme de l'assurance maladie,3/1/2016,0,65 ans et +,Masculin,1974,Marié(e),PAYS DE LA LOIRE,PAYS DE LA LOIRE,,,,,,,,,Mail,201610,9,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réclamations particuliers,Accueil physique,07- Hospitalisation  et soins coûteux/Soins coûteux,2/15/2016,15,65 ans et +,Féminin,1970,Célibataire,MIDI-PYRENEES,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201610,,,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Appel Entrant,07- Hospitalisation  et soins coûteux/Soins coûteux,2/25/2016,8,55-64 ans,Masculin,2012,Marié(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Téléphone,201610,5,Non,Oui plutôt,Oui plutôt,Oui plutôt,Non plutôt pas,Peu satisfait
Réception de documents,Accueil physique,08- Dentaire Optique Audioprothèses/Dentaire - Prothèses,2/29/2016,0,65 ans et +,Féminin,1980,Veuf/veuve,ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,5,Oui,Oui plutôt,Non plutôt pas,Oui plutôt,Non plutôt pas,Plutôt satisfait
Réception de documents,Courrier entrant,06- Santé/Prise en charge,2/29/2016,0,18-24 ans,Féminin,2005,Célibataire,RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Courrier,201610,7,Non,,Oui plutôt,Non plutôt pas,Oui plutôt,Peu satisfait
Demande d'informations et d'explications,Appel Entrant,06- Santé/Frais de Transports,2/29/2016,0,45-54 ans,Féminin,1992,Divorcé(e),BOURGOGNE,BOURGOGNE-FRANCHE-COMTE,,,,,,,Centres d'Appels,Téléconseiller,Téléphone,201610,5,Oui,Oui plutôt,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,"08- Dentaire Optique Audioprothèses/Optique - Montures, verres",3/4/2016,0,65 ans et +,Masculin,1973,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,,,Mail,201610,2,Non,,Oui tout à fait,Non plutôt pas,Oui tout à fait,Peu satisfait
Demande d'informations et d'explications,Appel Entrant,15- Offres complémentaires/MGEN Complément Autonomie,12/18/2015,74,65 ans et +,Masculin,1972,Marié(e),BRETAGNE,BRETAGNE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Téléphone,201610,10,Oui,Oui tout à fait,Oui plutôt,Oui plutôt,Oui plutôt,Très satisfait
Réclamations particuliers,Appel entrant,04- Cotisations/Echéancier,2/19/2016,11,45-54 ans,Masculin,1989,Marié(e),,,,,,,,,Centres d'Appels,Téléconseiller,Réclamation,201610,,,,Oui plutôt,Oui plutôt,Oui plutôt,Moyennement satisfait
Demande d'informations et d'explications,Appel Entrant,06- Santé/Actes médicaux courants,3/3/2016,0,45-54 ans,Féminin,2006,Marié(e),HAUTE-NORMANDIE,NORMANDIE,,,,,,,,,Téléphone,201610,6,Oui,Oui plutôt,Oui tout à fait,Oui tout à fait,Oui plutôt,Plutôt satisfait
Démission  volontaire,Courrier entrant,02- Gestion du dossier RC/Résiliation,2/25/2016,8,35-44 ans,Féminin,2007,Concubin(e),LIMOUSIN,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,,,,,,,Sections départementales,Responsable d'équipe réseau,Courrier,201610,1,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Mise à jour,3/3/2016,0,25-34 ans,Féminin,2014,Concubin(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,,,Mail,201610,10,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Mise à jour,3/3/2016,1,55-64 ans,Masculin,1980,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,,,Mail,201610,6,Non,,Non plutôt pas,Oui plutôt,Non plutôt pas,Plutôt satisfait
Réclamations particuliers,Appel entrant,04- Cotisations/Echéancier,2/22/2016,9,55-64 ans,Masculin,1978,Marié(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Centres de Gestion,Gestionnaire prestations services centre de gestion,Réclamation,201610,,,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Accueil physique,08- Dentaire Optique Audioprothèses/Dentaire - Prothèses,3/4/2016,0,65 ans et +,Féminin,1967,Marié(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,8,Non,Non plutôt pas,Non plutôt pas,Non plutôt pas,Non plutôt pas,Moyennement satisfait
Réclamations particuliers,Accueil physique,01- Gestion du dossier RO/Exonération ticket modérateur,2/29/2016,0,65 ans et +,Masculin,1969,Marié(e),POITOU-CHARENTES,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Réclamation,201610,,,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Moyennement satisfait
Demande d'informations et d'explications,Appel Entrant,01- Gestion du dossier RO/CEAM,3/3/2016,0,55-64 ans,Féminin,1972,Marié(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,,,Téléphone,201610,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,20 - Dépendance totale - PTA/Rente Dépendance Totale,2/18/2016,13,65 ans et +,Masculin,1954,Veuf/veuve,PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,,,,,,,,,Mail,201610,9,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réclamations particuliers,Appel entrant,02- Gestion du dossier RC/Résiliation,2/23/2016,9,45-54 ans,Féminin,1994,Marié(e),BASSE-NORMANDIE,NORMANDIE,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201610,,,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Actes médicaux courants,2/29/2016,1,55-64 ans,Féminin,1974,Concubin(e),POITOU-CHARENTES,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,,,,,,,,,Mail,201610,5,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Moyennement satisfait
Proposition de prestations ou de services,Accueil physique,15- Offres complémentaires/MGEN Complément Autonomie,3/2/2016,0,55-64 ans,Féminin,1987,Marié(e),CHAMPAGNE-ARDENNE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,9,Oui,Oui plutôt,Oui tout à fait,Non plutôt pas,Oui plutôt,Moyennement satisfait
Demande d'informations et d'explications,Email entrant,13- Prévoyance/PID,3/2/2016,1,55-64 ans,Féminin,1977,Marié(e),PAYS DE LA LOIRE,PAYS DE LA LOIRE,,,,,,,,,Mail,201610,8,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Appel Entrant,07- Hospitalisation  et soins coûteux/Hospitalisation,2/23/2016,10,65 ans et +,Féminin,1986,Marié(e),MIDI-PYRENEES,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,Centres de Gestion,Gestionnaire prestations services centre de gestion,Téléphone,201610,8,Oui,Oui plutôt,Oui plutôt,Oui plutôt,Non plutôt pas,Plutôt satisfait
Demande d'informations et d'explications,Courrier entrant,02- Gestion du dossier RC/Changement d'offre,2/29/2016,0,65 ans et +,Féminin,1970,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,,,Courrier,201610,2,Non,,Non plutôt pas,Non plutôt pas,Non plutôt pas,Peu satisfait
Réception de documents,Accueil physique,02- Gestion du dossier RC/Résiliation,3/3/2016,0,55-64 ans,Masculin,1999,Marié(e),AUVERGNE,AUVERGNE-RHONE-ALPES,,,,,,,,,Accueil physique,201610,4,Oui,Oui plutôt,Non plutôt pas,Non plutôt pas,Oui plutôt,Moyennement satisfait
Réclamations particuliers,Email entrant,06- Santé/Actes médicaux courants,1/20/2016,44,55-64 ans,Féminin,1969,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,,,Réclamation,201610,,,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Mise à jour,3/2/2016,1,55-64 ans,Masculin,1971,Marié(e),LIMOUSIN,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,,,,,,,,,Mail,201610,8,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Demande d'informations et d'explications,Appel Entrant,07- Hospitalisation  et soins coûteux/Hospitalisation,2/29/2016,0,65 ans et +,Féminin,1962,Marié(e),POITOU-CHARENTES,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,,,,,,,Centres d'Appels,Téléconseiller,Téléphone,201610,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Cures thermales,3/1/2016,0,65 ans et +,Féminin,1991,Divorcé(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,,,Mail,201610,7,Non,,Non plutôt pas,Non plutôt pas,Non plutôt pas,Moyennement satisfait
Demande d'informations et d'explications,Email entrant,10- Allocations et indemnités/Allocations journalières RC MGEN,3/2/2016,1,55-64 ans,Masculin,1973,Marié(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,,,Mail,201610,9,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Réclamations particuliers,Courrier Reçu,06- Santé/Réforme de l'assurance maladie,2/9/2016,21,55-64 ans,Féminin,2004,Marié(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,,,Réclamation,201610,,,,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Accueil physique,13- Prévoyance/Frais funéraires,3/4/2016,0,65 ans et +,Féminin,1965,Marié(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,,,Accueil physique,201610,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande de documents,Appel Entrant,01- Gestion du dossier RO/CEAM,3/2/2016,0,65 ans et +,Masculin,1958,Marié(e),BRETAGNE,BRETAGNE,,,,,,,,,Téléphone,201610,8,Oui,Oui plutôt,Oui plutôt,Oui plutôt,Non plutôt pas,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,04- Cotisations/Calcul de la cotisation,3/1/2016,1,25-34 ans,Féminin,2009,Marié(e),HAUTE-NORMANDIE,NORMANDIE,,,,,,,,,Mail,201610,3,Non,,Non plutôt pas,Oui plutôt,Non plutôt pas,Peu satisfait
Demande d'informations et d'explications,Email entrant,08- Dentaire Optique Audioprothèses/Dentaire - Orthodontie,3/1/2016,7,45-54 ans,Féminin,1993,Marié(e),PICARDIE,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,,,Mail,201610,1,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,2/29/2016,3,45-54 ans,Masculin,2010,Marié(e),POITOU-CHARENTES,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,,,,,,,,,Mail,201610,1,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Moyennement satisfait
Réclamations particuliers,Courrier Reçu,06- Santé/Prise en charge,3/1/2016,3,65 ans et +,Féminin,1959,Divorcé(e),PAYS DE LA LOIRE,PAYS DE LA LOIRE,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201610,,,,Non plutôt pas,Non pas du tout,Non plutôt pas,Peu satisfait
Réception de documents,Accueil physique,07- Hospitalisation  et soins coûteux/Hospitalisation,3/2/2016,0,65 ans et +,Féminin,1964,Divorcé(e),AQUITAINE,BRETAGNE,,,,,,,,,Accueil physique,201610,7,Oui,Oui tout à fait,Oui plutôt,Oui plutôt,Non plutôt pas,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/2/2016,1,45-54 ans,Féminin,1989,Célibataire,ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,,,Mail,201610,3,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Email entrant,07- Hospitalisation  et soins coûteux/Hospitalisation,2/8/2016,23,55-64 ans,Masculin,1977,Marié(e),ALSACE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,,,,,,,,,Mail,201610,3,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Peu satisfait
Réclamations particuliers urgentes,Appel entrant,02- Gestion du dossier RC/Création de l'adhésion souscripteur MPA,3/3/2016,0,25-34 ans,Féminin,1983,Célibataire,ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,Centres d'Appels,Téléconseiller Spécialiste,Réclamation,201610,,,,,,,Peu satisfait
Demande d'informations et d'explications,Accueil physique,08- Dentaire Optique Audioprothèses/Dentaire - Implants,3/2/2016,0,65 ans et +,Masculin,1962,Marié(e),LANGUEDOC-ROUSSILLON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,1,Non,Oui plutôt,Non plutôt pas,Non pas du tout,Non pas du tout,Peu satisfait
Réclamations particuliers,Email entrant,06- Santé/Actes médicaux courants,3/2/2016,0,55-64 ans,Féminin,2013,Divorcé(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,,,,,,,,,Réclamation,201610,,,,Oui plutôt,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Actes médicaux courants,3/1/2016,0,65 ans et +,Féminin,1989,Marié(e),BRETAGNE,BRETAGNE,,,,,,,,,Mail,201610,5,Non,,Oui plutôt,Non plutôt pas,Non pas du tout,Pas du tout satisfait
Demande d'informations et d'explications,Accueil physique,02- Gestion du dossier RC/Droits,12/8/2015,86,55-64 ans,Féminin,1977,Célibataire,ALSACE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,5,Non,Non plutôt pas,Non plutôt pas,Non plutôt pas,Non plutôt pas,Moyennement satisfait
Demande d'informations et d'explications,Email entrant,07- Hospitalisation  et soins coûteux/Hospitalisation,12/28/2015,66,65 ans et +,Féminin,1974,Divorcé(e),AQUITAINE,BRETAGNE,,,,,,,,,Mail,201610,9,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Appel Entrant,"08- Dentaire Optique Audioprothèses/Optique - Montures, verres",3/3/2016,0,65 ans et +,Féminin,1968,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,,,Téléphone,201610,5,Oui,Oui plutôt,Oui plutôt,Oui tout à fait,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/1/2016,3,45-54 ans,Masculin,1987,Pacsé(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,,,Mail,201610,7,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,08- Dentaire Optique Audioprothèses/Dentaire - Prothèses,3/2/2016,1,65 ans et +,Féminin,1966,Séparé(e),AQUITAINE,BRETAGNE,,,,,,,,,Mail,201610,5,Non,,Oui plutôt,Oui plutôt,Oui plutôt,Moyennement satisfait
Demande d'informations et d'explications,Appel Entrant,01- Gestion du dossier RO/Droits,2/29/2016,0,65 ans et +,Masculin,1956,Marié(e),MIDI-PYRENEES,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,,,Téléphone,201610,9,Oui,Oui tout à fait,Oui plutôt,Oui plutôt,Oui plutôt,Très satisfait
Demande de documents,Appel Entrant,01- Gestion du dossier RO/CEAM,3/3/2016,0,35-44 ans,Féminin,2000,Concubin(e),HAUTE-NORMANDIE,NORMANDIE,,,,,,,,,Téléphone,201610,6,Oui,Oui plutôt,Oui tout à fait,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Accidents,2/25/2016,6,45-54 ans,Masculin,2002,Marié(e),RHONE-ALPES,AUVERGNE-RHONE-ALPES,,,,,,,,,Mail,201610,2,Non,,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Réclamations particuliers,Accueil physique,08- Dentaire Optique Audioprothèses/Dentaire - Orthodontie,2/2/2016,31,55-64 ans,Masculin,1978,Marié(e),PAYS DE LA LOIRE,PAYS DE LA LOIRE,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201610,,,,Non plutôt pas,Non plutôt pas,Non pas du tout,Peu satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/2/2016,2,55-64 ans,Masculin,1973,Marié(e),LA REUNION,LA REUNION,,,,,,,,,Mail,201610,9,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Proposition de prestations ou de services,Accueil physique,15- Offres complémentaires/Sollicitudes,12/23/2015,68,45-54 ans,Féminin,1987,Marié(e),CHAMPAGNE-ARDENNE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,,,,,,,Sections départementales,Conseiller mutualiste,Accueil physique,201610,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réception de documents,Courrier entrant,13- Prévoyance/PID,3/3/2016,0,55-64 ans,Masculin,1970,Marié(e),AUVERGNE,AUVERGNE-RHONE-ALPES,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Courrier,201610,4,Non,,Non pas du tout,Oui plutôt,Non plutôt pas,Pas du tout satisfait
Demande de modifications,Courrier entrant,02- Gestion du dossier RC/Résiliation,3/1/2016,0,45-54 ans,Féminin,1981,Célibataire,PICARDIE,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Centres de Gestion,Gestionnaire prestations services centre de gestion,Courrier,201610,5,Oui,,Oui plutôt,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Demande de documents,Accueil physique,01- Gestion du dossier RO/CEAM,3/3/2016,0,65 ans et +,Féminin,1978,Marié(e),CHAMPAGNE-ARDENNE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,,,,,,,,,Accueil physique,201610,5,Non,Oui plutôt,Oui plutôt,Oui plutôt,Oui plutôt,Pas du tout satisfait
Réclamations particuliers,Appel entrant,07- Hospitalisation  et soins coûteux/Hospitalisation,2/24/2016,9,45-54 ans,Féminin,2007,Marié(e),BRETAGNE,BRETAGNE,,,,,,,Centres de Gestion,Gestionnaire prestations services centre de gestion,Réclamation,201610,,,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Accueil physique,07- Hospitalisation  et soins coûteux/Hospitalisation,2/4/2016,27,55-64 ans,Féminin,1979,Marié(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,8,Oui,Oui plutôt,Oui tout à fait,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,02- Gestion du dossier RC/Droits,3/3/2016,5,65 ans et +,Masculin,1965,Marié(e),AQUITAINE,BRETAGNE,,,,,,,,,Mail,201610,8,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Appel Entrant,06- Santé/Ostéopathie,2/26/2016,7,35-44 ans,Féminin,2003,Divorcé(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,,,Téléphone,201610,8,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui plutôt,Très satisfait
Réception de documents,Courrier entrant,03- Gestion des coordonnées personnes/Domiciliation bancaire,3/2/2016,0,18-24 ans,Féminin,1992,Célibataire,AQUITAINE,BRETAGNE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Courrier,201610,8,Oui,,Oui plutôt,Oui plutôt,Oui tout à fait,Plutôt satisfait
Demande d'informations et d'explications,Accueil physique,06- Santé/Actes médicaux courants,2/29/2016,0,65 ans et +,Masculin,1975,Marié(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,2,Non,Non plutôt pas,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Réclamations particuliers,Accueil physique,08- Dentaire Optique Audioprothèses/Dentaire - Prothèses,2/17/2016,15,65 ans et +,Féminin,1957,Célibataire,MIDI-PYRENEES,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,Centres de Gestion,Gestionnaire prestations services centre de gestion,Réclamation,201610,,,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Réception de documents,Accueil physique,10- Allocations et indemnités/Allocations journalières RC MGEN,3/3/2016,0,55-64 ans,Masculin,1990,Célibataire,LORRAINE,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Sections départementales,Spécialiste prestations services réseau,Accueil physique,201610,1,Non,Non pas du tout,Non pas du tout,Non pas du tout,Non pas du tout,Pas du tout satisfait
Réception de documents,Courrier entrant,10- Allocations et indemnités/Allocations journalières RC MGEN,3/4/2016,0,45-54 ans,Féminin,1970,Marié(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,,,Courrier,201610,7,Oui,,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Email entrant,06- Santé/Actes médicaux courants,3/2/2016,0,65 ans et +,Féminin,1967,Veuf/veuve,CENTRE,CENTRE-VAL DE LOIRE,,,,,,,,,Mail,201610,9,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Plutôt satisfait
Demande de documents,Appel Entrant,02- Gestion du dossier RC/Droits,3/2/2016,0,35-44 ans,Masculin,2010,Pacsé(e),MIDI-PYRENEES,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,,,,,,,Centres d'Appels,Téléconseiller Spécialiste,Téléphone,201610,3,Non,Oui plutôt,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Demande d'informations et d'explications,Appel Entrant,02- Gestion du dossier RC/Droits,3/4/2016,0,45-54 ans,Masculin,1987,Divorcé(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Centres d'Appels,Conseiller développement et fidélisation en centre d'appels,Téléphone,201610,7,Non,Oui plutôt,Non plutôt pas,Oui plutôt,Oui plutôt,Moyennement satisfait
Réception de documents,Accueil physique,08- Dentaire Optique Audioprothèses/Dentaire - Implants,3/2/2016,0,55-64 ans,Féminin,1987,Marié(e),BOURGOGNE,BOURGOGNE-FRANCHE-COMTE,,,,,,,Sections départementales,Spécialiste prestations services réseau,Accueil physique,201610,10,Oui,Oui tout à fait,Oui plutôt,Oui plutôt,Oui plutôt,Plutôt satisfait
Réclamations particuliers,Appel entrant,08- Dentaire Optique Audioprothèses/Dentaire - Implants,2/15/2016,17,55-64 ans,Féminin,1992,Marié(e),NORD-PAS-DE-CALAIS,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201610,,,,Oui plutôt,Oui plutôt,Oui plutôt,Peu satisfait
Réclamations particuliers,Appel entrant,"08- Dentaire Optique Audioprothèses/Optique - Montures, verres",2/25/2016,6,65 ans et +,Féminin,1953,Veuf/veuve,PICARDIE,NORD-PAS-DE-CALAIS-PICARDIE,,,,,,,Centres de Gestion,Spécialiste prestations services centre de gestion,Réclamation,201610,,,,Non plutôt pas,Oui plutôt,Non plutôt pas,Pas du tout satisfait
Demande d'informations et d'explications,Email entrant,18- Environnement  MGEN/Correspondant,3/4/2016,3,65 ans et +,Masculin,1967,Marié(e),ALSACE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,,,,,,,,,Mail,201610,10,Oui,,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
Demande d'informations et d'explications,Accueil physique,02- Gestion du dossier RC/Droits,2/29/2016,0,65 ans et +,Masculin,2016,Marié(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,9,Oui,Oui tout à fait,Oui plutôt,Oui tout à fait,Oui plutôt,Plutôt satisfait
Réception de documents,Courrier entrant,02- Gestion du dossier RC/Droits,2/29/2016,0,65 ans et +,Masculin,1962,Marié(e),ILE-DE-FRANCE,ILE-DE-FRANCE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Courrier,201610,8,Oui,,Oui tout à fait,Oui tout à fait,Oui plutôt,Plutôt satisfait
Réception de documents,Courrier entrant,11- Aides au logement/Assurance emprunteurs (ITT/AERAS),3/1/2016,0,35-44 ans,Masculin,2001,Pacsé(e),PROVENCE-ALPES-COTE D'AZUR,PROVENCE-ALPES-COTE D'AZUR,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Courrier,201610,7,Non,,Non plutôt pas,Non plutôt pas,Non plutôt pas,Peu satisfait
Réception de documents,Accueil physique,07- Hospitalisation  et soins coûteux/Hospitalisation,3/4/2016,0,65 ans et +,Masculin,1975,Marié(e),BRETAGNE,BRETAGNE,,,,,,,Sections départementales,Conseiller Accueil Développement Services,Accueil physique,201610,10,Oui,Oui tout à fait,Oui tout à fait,Oui tout à fait,Oui tout à fait,Très satisfait
